Location,INDICATOR,SUBJECT,MEASURE,Date,Value,Numar_persoane,Barbati,Femei
GRC,EMPEDU,Liceu,PC_25_64,2001,65.132828,65,2,63
GRC,EMPEDU,Liceu,PC_25_64,2002,65.38813,59,58,1
GRC,EMPEDU,Liceu,PC_25_64,2003,66.923561,50,23,27
GRC,EMPEDU,Liceu,PC_25_64,2004,68.190277,58,52,6
GRC,EMPEDU,Liceu,PC_25_64,2005,68.716469,53,35,18
GRC,EMPEDU,Liceu,PC_25_64,2006,69.702591,88,57,31
GRC,EMPEDU,Liceu,PC_25_64,2007,69.457176,57,5,52
GRC,EMPEDU,Liceu,PC_25_64,2008,69.799133,89,56,33
GRC,EMPEDU,Liceu,PC_25_64,2009,68.413803,40,36,4
GRC,EMPEDU,Liceu,PC_25_64,2010,66.384895,83,69,14
GRC,EMPEDU,Liceu,PC_25_64,2011,61.992165,94,29,65
GRC,EMPEDU,Liceu,PC_25_64,2012,57.122643,83,61,22
GRC,EMPEDU,Liceu,PC_25_64,2013,54.066143,76,16,60
GRC,EMPEDU,Liceu,PC_25_64,2014,54.498825,45,18,27
GRC,EMPEDU,Liceu,PC_25_64,2015,56.401764,39,21,18
GRC,EMPEDU,Liceu,PC_25_64,2016,58.112816,97,82,15
GRC,EMPEDU,Liceu,PC_25_64,2017,59.319614,87,77,10
GRC,EMPEDU,Liceu,PC_25_64,2018,60.870548,81,5,76
GRC,EMPEDU,Liceu,PC_25_64,2019,62.335983,80,73,7
GRC,EMPEDU,Liceu,PC_25_64,2020,62.153561,46,25,21
GRC,EMPEDU,Liceu,PC_25_64,2021,62.988297,41,30,11
KOR,EMPEDU,Gimnaziu,PC_25_64,1995,71.089951,49,48,1
KOR,EMPEDU,Gimnaziu,PC_25_64,1997,71.178406,19,7,12
KOR,EMPEDU,Gimnaziu,PC_25_64,1998,66.097816,92,9,83
KOR,EMPEDU,Gimnaziu,PC_25_64,1999,66.867439,96,37,59
KOR,EMPEDU,Gimnaziu,PC_25_64,2000,68.110718,11,4,7
KOR,EMPEDU,Gimnaziu,PC_25_64,2001,67.900017,69,17,52
KOR,EMPEDU,Gimnaziu,PC_25_64,2002,68.4972,12,4,8
KOR,EMPEDU,Gimnaziu,PC_25_64,2003,66.622368,50,29,21
KOR,EMPEDU,Gimnaziu,PC_25_64,2004,66.74823,83,62,21
KOR,EMPEDU,Gimnaziu,PC_25_64,2005,65.956055,46,39,7
KOR,EMPEDU,Gimnaziu,PC_25_64,2006,66.259041,93,28,65
KOR,EMPEDU,Gimnaziu,PC_25_64,2007,66.028656,54,47,7
KOR,EMPEDU,Gimnaziu,PC_25_64,2008,66.184456,69,53,16
KOR,EMPEDU,Gimnaziu,PC_25_64,2009,65.052864,59,8,51
KOR,EMPEDU,Gimnaziu,PC_25_64,2010,65.05529,54,33,21
KOR,EMPEDU,Gimnaziu,PC_25_64,2011,65.297112,92,70,22
KOR,EMPEDU,Gimnaziu,PC_25_64,2012,65.353065,48,8,40
KOR,EMPEDU,Gimnaziu,PC_25_64,2013,65.500572,61,14,47
KOR,EMPEDU,Gimnaziu,PC_25_64,2014,66.36348,71,20,51
KOR,EMPEDU,Gimnaziu,PC_25_64,2015,65.891991,67,18,49
KOR,EMPEDU,Gimnaziu,PC_25_64,2016,65.544815,54,44,10
KOR,EMPEDU,Gimnaziu,PC_25_64,2017,65.798889,52,4,48
KOR,EMPEDU,Gimnaziu,PC_25_64,2018,64.728958,60,7,53
KOR,EMPEDU,Gimnaziu,PC_25_64,2019,63.626556,87,53,34
KOR,EMPEDU,Gimnaziu,PC_25_64,2020,61.423512,37,35,2
KOR,EMPEDU,Gimnaziu,PC_25_64,2021,61.157108,34,27,7
EST,EMPEDU,Gimnaziu,PC_25_64,1997,47.446205,65,37,28
EST,EMPEDU,Gimnaziu,PC_25_64,1998,47.671066,95,17,78
EST,EMPEDU,Gimnaziu,PC_25_64,1999,43.944023,57,32,25
EST,EMPEDU,Gimnaziu,PC_25_64,2000,39.802414,68,29,39
EST,EMPEDU,Gimnaziu,PC_25_64,2001,41.678741,72,15,57
EST,EMPEDU,Gimnaziu,PC_25_64,2002,40.552887,68,51,17
EST,EMPEDU,Gimnaziu,PC_25_64,2003,47.266415,26,10,16
EST,EMPEDU,Gimnaziu,PC_25_64,2004,51.586044,61,37,24
EST,EMPEDU,Gimnaziu,PC_25_64,2005,49.512119,54,49,5
EST,EMPEDU,Gimnaziu,PC_25_64,2006,55.081551,34,19,15
EST,EMPEDU,Gimnaziu,PC_25_64,2007,55.361004,92,42,50
EST,EMPEDU,Gimnaziu,PC_25_64,2008,57.425705,77,53,24
EST,EMPEDU,Gimnaziu,PC_25_64,2009,46.916954,58,27,31
EST,EMPEDU,Gimnaziu,PC_25_64,2010,45.019768,43,31,12
EST,EMPEDU,Gimnaziu,PC_25_64,2011,48.561352,78,54,24
EST,EMPEDU,Gimnaziu,PC_25_64,2012,50.252663,50,19,31
EST,EMPEDU,Gimnaziu,PC_25_64,2013,57.934174,76,70,6
EST,EMPEDU,Gimnaziu,PC_25_64,2014,60.264725,92,15,77
EST,EMPEDU,Gimnaziu,PC_25_64,2015,57.987846,50,41,9
EST,EMPEDU,Gimnaziu,PC_25_64,2016,61.366207,63,23,40
EST,EMPEDU,Gimnaziu,PC_25_64,2017,65.3769,49,44,5
EST,EMPEDU,Gimnaziu,PC_25_64,2018,65.051361,46,32,14
EST,EMPEDU,Gimnaziu,PC_25_64,2019,62.385929,84,56,28
EST,EMPEDU,Gimnaziu,PC_25_64,2020,62.542736,37,11,26
EST,EMPEDU,Gimnaziu,PC_25_64,2021,64.107475,48,26,22
DEU,EMPEDU,Facultate,PC_25_64,1989,84.208748,54,15,39
DEU,EMPEDU,Facultate,PC_25_64,1991,85.013275,65,16,49
DEU,EMPEDU,Facultate,PC_25_64,1992,84.653061,78,47,31
DEU,EMPEDU,Facultate,PC_25_64,1994,83.358749,34,28,6
DEU,EMPEDU,Facultate,PC_25_64,1995,84.151466,19,5,14
DEU,EMPEDU,Facultate,PC_25_64,1997,82.290977,17,0,17
DEU,EMPEDU,Facultate,PC_25_64,1998,82.210487,23,18,5
DEU,EMPEDU,Facultate,PC_25_64,1999,82.973106,59,20,39
DEU,EMPEDU,Facultate,PC_25_64,2000,83.401245,18,11,7
DEU,EMPEDU,Facultate,PC_25_64,2001,83.424339,46,5,41
DEU,EMPEDU,Facultate,PC_25_64,2002,83.558861,75,60,15
DEU,EMPEDU,Facultate,PC_25_64,2003,82.973022,23,10,13
DEU,EMPEDU,Facultate,PC_25_64,2004,82.653915,42,30,12
DEU,EMPEDU,Facultate,PC_25_64,2005,82.865166,97,78,19
DEU,EMPEDU,Facultate,PC_25_64,2006,84.33522,67,65,2
DEU,EMPEDU,Facultate,PC_25_64,2007,85.467903,32,27,5
DEU,EMPEDU,Facultate,PC_25_64,2008,85.819786,95,64,31
DEU,EMPEDU,Facultate,PC_25_64,2009,86.414375,90,13,77
DEU,EMPEDU,Facultate,PC_25_64,2010,86.929436,53,40,13
DEU,EMPEDU,Facultate,PC_25_64,2011,87.853821,13,4,9
DEU,EMPEDU,Facultate,PC_25_64,2012,87.890465,70,48,22
DEU,EMPEDU,Facultate,PC_25_64,2013,87.763885,47,5,42
DEU,EMPEDU,Facultate,PC_25_64,2014,88.078751,18,15,3
DEU,EMPEDU,Facultate,PC_25_64,2015,88.13018,59,22,37
DEU,EMPEDU,Facultate,PC_25_64,2016,88.329994,58,54,4
DEU,EMPEDU,Facultate,PC_25_64,2017,88.58493,70,56,14
DEU,EMPEDU,Facultate,PC_25_64,2018,88.895027,63,47,16
DEU,EMPEDU,Facultate,PC_25_64,2019,89.345268,50,29,21
DEU,EMPEDU,Facultate,PC_25_64,2020,88.669289,30,12,18
DEU,EMPEDU,Facultate,PC_25_64,2021,88.338303,97,57,40
DNK,EMPEDU,Gimnaziu,PC_25_64,1981,67.223839,49,0,49
DNK,EMPEDU,Gimnaziu,PC_25_64,1988,64.912277,86,79,7
DNK,EMPEDU,Gimnaziu,PC_25_64,1991,61.964344,36,11,25
DNK,EMPEDU,Gimnaziu,PC_25_64,1992,61.661186,82,62,20
DNK,EMPEDU,Gimnaziu,PC_25_64,1994,60.119549,94,37,57
DNK,EMPEDU,Gimnaziu,PC_25_64,1995,61.472237,97,39,58
DNK,EMPEDU,Gimnaziu,PC_25_64,1998,60.857647,15,4,11
DNK,EMPEDU,Gimnaziu,PC_25_64,1999,61.676125,74,24,50
DNK,EMPEDU,Gimnaziu,PC_25_64,2000,62.469681,16,9,7
DNK,EMPEDU,Gimnaziu,PC_25_64,2001,61.540264,32,6,26
DNK,EMPEDU,Gimnaziu,PC_25_64,2002,61.17897,51,20,31
DNK,EMPEDU,Gimnaziu,PC_25_64,2003,62.662125,62,21,41
DNK,EMPEDU,Gimnaziu,PC_25_64,2004,61.698513,87,59,28
DNK,EMPEDU,Gimnaziu,PC_25_64,2005,61.519829,17,12,5
DNK,EMPEDU,Gimnaziu,PC_25_64,2006,62.756851,88,65,23
DNK,EMPEDU,Gimnaziu,PC_25_64,2007,67.496246,89,70,19
DNK,EMPEDU,Gimnaziu,PC_25_64,2008,66.725883,58,49,9
DNK,EMPEDU,Gimnaziu,PC_25_64,2009,63.210625,88,30,58
DNK,EMPEDU,Gimnaziu,PC_25_64,2010,60.972359,55,31,24
DNK,EMPEDU,Gimnaziu,PC_25_64,2011,60.681927,61,14,47
DNK,EMPEDU,Gimnaziu,PC_25_64,2012,59.152397,34,6,28
DNK,EMPEDU,Gimnaziu,PC_25_64,2013,58.606014,81,0,81
DNK,EMPEDU,Gimnaziu,PC_25_64,2014,59.843922,76,21,55
DNK,EMPEDU,Gimnaziu,PC_25_64,2015,59.170334,72,63,9
DNK,EMPEDU,Gimnaziu,PC_25_64,2016,61.461666,90,4,86
DNK,EMPEDU,Gimnaziu,PC_25_64,2017,61.138855,74,26,48
DNK,EMPEDU,Gimnaziu,PC_25_64,2018,61.091515,84,80,4
DNK,EMPEDU,Gimnaziu,PC_25_64,2019,60.748222,70,36,34
DNK,EMPEDU,Gimnaziu,PC_25_64,2020,60.465584,55,22,33
DNK,EMPEDU,Gimnaziu,PC_25_64,2021,61.790646,18,12,6
FIN,EMPEDU,Liceu,PC_25_64,2000,75.15316,11,0,11
FIN,EMPEDU,Liceu,PC_25_64,2003,74.374451,31,17,14
FIN,EMPEDU,Liceu,PC_25_64,2004,74.414146,85,74,11
FIN,EMPEDU,Liceu,PC_25_64,2005,75.172165,33,18,15
FIN,EMPEDU,Liceu,PC_25_64,2006,75.585205,79,40,39
FIN,EMPEDU,Liceu,PC_25_64,2007,76.199265,65,6,59
FIN,EMPEDU,Liceu,PC_25_64,2008,77.263542,37,3,34
FIN,EMPEDU,Liceu,PC_25_64,2009,74.795975,90,69,21
FIN,EMPEDU,Liceu,PC_25_64,2010,74.083595,85,31,54
FIN,EMPEDU,Liceu,PC_25_64,2011,74.740028,65,27,38
FIN,EMPEDU,Liceu,PC_25_64,2012,74.61618,17,1,16
FIN,EMPEDU,Liceu,PC_25_64,2013,73.617867,70,1,69
FIN,EMPEDU,Liceu,PC_25_64,2014,73.173897,66,30,36
FIN,EMPEDU,Liceu,PC_25_64,2015,72.808609,37,26,11
FIN,EMPEDU,Liceu,PC_25_64,2016,73.19838,81,24,57
FIN,EMPEDU,Liceu,PC_25_64,2017,74.074074,39,35,4
FIN,EMPEDU,Liceu,PC_25_64,2018,75.68013,97,26,71
FIN,EMPEDU,Liceu,PC_25_64,2019,76.588898,37,9,28
FIN,EMPEDU,Liceu,PC_25_64,2020,75.267929,92,27,65
FIN,EMPEDU,Liceu,PC_25_64,2021,76.822716,38,1,37
NOR,EMPEDU,Liceu,PC_25_64,1981,81.012032,91,64,27
NOR,EMPEDU,Liceu,PC_25_64,1989,81.020592,40,20,20
NOR,EMPEDU,Liceu,PC_25_64,1991,79.68972,19,12,7
NOR,EMPEDU,Liceu,PC_25_64,1992,79.11924,44,29,15
NOR,EMPEDU,Liceu,PC_25_64,1994,79.315414,47,1,46
NOR,EMPEDU,Liceu,PC_25_64,1995,80.476761,94,10,84
NOR,EMPEDU,Liceu,PC_25_64,2005,82.418602,14,8,6
NOR,EMPEDU,Liceu,PC_25_64,2006,82.932518,35,0,35
NOR,EMPEDU,Liceu,PC_25_64,2007,83.985168,62,50,12
NOR,EMPEDU,Liceu,PC_25_64,2008,84.422836,13,4,9
NOR,EMPEDU,Liceu,PC_25_64,2009,83.138901,29,3,26
NOR,EMPEDU,Liceu,PC_25_64,2010,81.725609,29,14,15
NOR,EMPEDU,Liceu,PC_25_64,2011,81.65596,40,6,34
NOR,EMPEDU,Liceu,PC_25_64,2012,81.2173,37,1,36
NOR,EMPEDU,Liceu,PC_25_64,2013,81.792572,12,6,6
NOR,EMPEDU,Liceu,PC_25_64,2014,81.480118,62,5,57
NOR,EMPEDU,Liceu,PC_25_64,2015,80.516129,55,40,15
NOR,EMPEDU,Liceu,PC_25_64,2016,80.244171,21,14,7
NOR,EMPEDU,Liceu,PC_25_64,2017,79.68779,39,2,37
NOR,EMPEDU,Liceu,PC_25_64,2018,80.771706,96,6,90
NOR,EMPEDU,Liceu,PC_25_64,2019,80.785126,63,48,15
NOR,EMPEDU,Liceu,PC_25_64,2020,79.452942,61,8,53
NOR,EMPEDU,Liceu,PC_25_64,2021,81.227379,70,2,68
SVK,EMPEDU,Gimnaziu,PC_25_64,1997,38.909092,55,32,23
SVK,EMPEDU,Gimnaziu,PC_25_64,1998,37.372425,88,11,77
SVK,EMPEDU,Gimnaziu,PC_25_64,1999,33.209339,46,25,21
SVK,EMPEDU,Gimnaziu,PC_25_64,2000,30.857649,63,19,44
SVK,EMPEDU,Gimnaziu,PC_25_64,2001,30.493593,55,29,26
SVK,EMPEDU,Gimnaziu,PC_25_64,2002,28.188423,36,11,25
SVK,EMPEDU,Gimnaziu,PC_25_64,2003,28.517904,20,14,6
SVK,EMPEDU,Gimnaziu,PC_25_64,2004,26.595428,66,33,33
SVK,EMPEDU,Gimnaziu,PC_25_64,2005,26.282099,92,55,37
SVK,EMPEDU,Gimnaziu,PC_25_64,2006,28.927097,67,4,63
SVK,EMPEDU,Gimnaziu,PC_25_64,2007,29.113235,83,31,52
SVK,EMPEDU,Gimnaziu,PC_25_64,2008,32.313751,61,6,55
SVK,EMPEDU,Gimnaziu,PC_25_64,2009,30.336721,41,6,35
SVK,EMPEDU,Gimnaziu,PC_25_64,2010,29.686049,29,27,2
SVK,EMPEDU,Gimnaziu,PC_25_64,2011,30.250757,95,40,55
SVK,EMPEDU,Gimnaziu,PC_25_64,2012,30.708851,23,2,21
SVK,EMPEDU,Gimnaziu,PC_25_64,2013,31.021057,84,2,82
SVK,EMPEDU,Gimnaziu,PC_25_64,2014,32.682098,91,70,21
SVK,EMPEDU,Gimnaziu,PC_25_64,2015,34.454655,44,43,1
SVK,EMPEDU,Gimnaziu,PC_25_64,2016,37.67197,76,22,54
SVK,EMPEDU,Gimnaziu,PC_25_64,2017,39.054001,92,64,28
SVK,EMPEDU,Gimnaziu,PC_25_64,2018,38.262417,89,0,89
SVK,EMPEDU,Gimnaziu,PC_25_64,2019,38.039867,26,22,4
SVK,EMPEDU,Gimnaziu,PC_25_64,2020,36.489971,82,10,72
SVK,EMPEDU,Gimnaziu,PC_25_64,2021,29.777237,72,25,47
USA,EMPEDU,Facultate,PC_25_64,1981,84.16859,58,44,14
USA,EMPEDU,Facultate,PC_25_64,1982,83.986917,74,38,36
USA,EMPEDU,Facultate,PC_25_64,1983,83.326011,18,13,5
USA,EMPEDU,Facultate,PC_25_64,1984,84.723388,45,20,25
USA,EMPEDU,Facultate,PC_25_64,1985,84.864479,61,9,52
USA,EMPEDU,Facultate,PC_25_64,1986,84.842372,72,20,52
USA,EMPEDU,Facultate,PC_25_64,1987,85.446921,18,14,4
USA,EMPEDU,Facultate,PC_25_64,1988,86.281388,94,76,18
USA,EMPEDU,Facultate,PC_25_64,1989,85.790429,98,38,60
